UC4rasfm9J-X4jNl9SvXp8xA;"Ultra Music";204000000
UCmBA_wu8xGg1OfOkfW13Q0Q;"Bad Bunny";203000000
UC3jOd7GUMhpgJRBhiLzuLsg;"Nicki Minaj";200000000
UCVp3nfGRxmMadNDuVbJSk8A;"Wiz Khalifa";198000000
UCq3Ci-h945sbEYXpVlw7rJg;"The Chainsmokers";198000000
UCcvNYxWXR_5TjVK7cSCdW-g;"T-Series Apna Punjab";198000000
UCuHzBCaKmtaLcRAOoazhCPA;"Beyoncé";197000000
UCpb_iJuhFe8V6rQdbNqfAlQ;"NickyJamTV";197000000
UCByOQJjav0CUDwxCk-jVNRQ;"Drake";193000000
UCGnjeahCJW1AF34HBmQTJ-Q;"shakiraVEVO";191000000
UC_TVqp_SyG6j5hG-xVRy95A;"Skrillex";190000000
UC2pmfLm7iq6Ov1UwYrWYkZA;"Vevo";190000000
UC0VOyT2OCBKdQhF3BAbZ-1g;"ArianaGrandeVevo";186000000
UCtW7qWjpCZ8zps-Cf2NF26w;"Gaane Sune Ansune";185000000
UC-6czyMkxDi8E8akPl0c7_w;"Enrique Iglesias";184000000
UCWi_65E_L8tQZ34C6wVAlpQ;"Venus";183000000
UCcYrdFJF7hmPXRNaWdrko4w;"ChrisBrownTV";180000000
UCLp8RBhQHu9wSsq62j_Md6A;"LuisFonsiVEVO";180000000
UCwpcLKMwiuPg4aqImpGk6Ew;"La Granja de Zenón";179000000
UCmv1CLT6ZcFdTJMHxaR9XeA;"PTXofficial";174000000
UCG9gfnA5UDoLvz-tC9B-HKw;"GMM GRAMMY OFFICIAL";172000000
UC_x8HoD18XJkILQBreVENUQ;"DJ Snake";171000000
UCIjYyZxkFucP_W-tmXg_9Ow;"Calvin Harris";169000000
UCPHjpfnnGklkRBBTd0k6aHg;"Avicii";168000000
UCgwv23FVv3lqh567yagXfNg;"DisneyMusicVEVO";167000000
UClZF7OsrECe3t_ADrjZEh_Q;"Geet MP3";166000000
UC0WP5P-ufpRfjbNrmOWwLBQ;"The Weeknd";164000000
UC6pjHMC4QXMi4llCCjtDXWg;"Lil pump";163000000
UCN9HPn2fq-NL8M5_kp4RWZQ;"Sia";162000000
UCeLHszkByNZtPKcaVXOCOQQ;"Post Malone";161000000
UCwppdrjsBPAZg5_cUwQjfMQ;"Charlie Puth";159000000
UComP_epzeKzvBX156r6pm1Q;"AdeleVEVO";158000000
UCR5wZcXtOUka8jTA57flzMg;"netd müzik";157000000
